MobileID,Brand,MobileURL,MobileName,Price,ImageURL
B086KFV4L4,Oppo,https://www.amazon.in/Dynamic-Orange-Storage-Additional-Exchange/dp/B086KFV4L4/ref=sr_1_15?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-15,Oppo F17 ,16990,https://m.media-amazon.com/images/I/81-xJ79cnjL._AC_UY218_.jpg
B08444X3CN,Oppo,https://www.amazon.in/OPPO-Storage-Additional-Exchange-Offers/dp/B08444X3CN/ref=sr_1_17?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-17,OPPO A12 ,11490,https://m.media-amazon.com/images/I/71-nSoWl8iL._AC_UY218_.jpg
B07PTLD8P9,Oppo,https://www.amazon.in/Fluorite-Purple-Storage-Additional-Exchange/dp/B07PTLD8P9/ref=sr_1_18?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-18,OPPO F11 ,14990,https://m.media-amazon.com/images/I/71qP+fMtbDL._AC_UY218_.jpg
B07X9YNV5Y,Oppo,https://www.amazon.in/Auroral-Storage-Additional-Exchange-Offers/dp/B07X9YNV5Y/ref=sr_1_21?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-21,OPPO Reno3 Pro ,25990,https://m.media-amazon.com/images/I/81ufP0QaqSL._AC_UY218_.jpg
B07PSHLRJ8,Oppo,https://www.amazon.in/OPPO-Storage-Additional-Exchange-Offers/dp/B07PSHLRJ8/ref=sr_1_22?dchild=1&keywords=oppo+smartphones&qid=1605587088&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-22,OPPO A1K ,7990,https://m.media-amazon.com/images/I/71XTesfK-bL._AC_UY218_.jpg
B089MTMLDF,Oppo,https://www.amazon.in/Oppo-Electric-Storage-Additional-Exchange/dp/B089MTMLDF/ref=sr_1_25?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-25,Oppo A53 ,12989,https://m.media-amazon.com/images/I/71pu5oj8MvL._AC_UY218_.jpg
B089MTKP37,Oppo,https://www.amazon.in/Starry-Storage-Additional-Exchange-Offers/dp/B089MTKP37/ref=sr_1_35?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-35,OPPO Reno4 Pro ,34990,https://m.media-amazon.com/images/I/71tyIXDxvcL._AC_UY218_.jpg
B08695Z3GR,Oppo,https://www.amazon.in/Ocean-256GB-Storage-Additional-Offers/dp/B08695Z3GR/ref=sr_1_38?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-38,OPPO Find X2 ,64990,https://m.media-amazon.com/images/I/919e-u5b4zL._AC_UY218_.jpg
B07XBYF7DL,Oppo,https://www.amazon.in/Reno2-Storage-Additional-Exchange-Offers/dp/B07XBYF7DL/ref=sr_1_40?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-40,OPPO Reno2 F ,21990,https://m.media-amazon.com/images/I/8121-n8-ekL._AC_UY218_.jpg
B07S7DXJWT,Oppo,https://www.amazon.in/Reno2-Storage-Additional-Exchange-Offers/dp/B07S7DXJWT/ref=sr_1_44?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-44,OPPO Reno2 Z ,27490,https://m.media-amazon.com/images/I/71p33agBY2L._AC_UY218_.jpg
B084457WQB,Oppo,https://www.amazon.in/Midnight-Storage-Additional-Exchange-Offers/dp/B084457WQB/ref=sr_1_45?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-45,Oppo Reno3 Pro ,29990,https://m.media-amazon.com/images/I/81dxd7vkdZL._AC_UY218_.jpg
B07PTKFLJZ,Oppo,https://www.amazon.in/Aurora-Storage-Additional-Exchange-Offers/dp/B07PTKFLJZ/ref=sr_1_56?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-56,OPPO F11 Pro ,13989,https://m.media-amazon.com/images/I/51EhaIIKeJL._AC_UY218_.jpg
B07HF4DSL9,Oppo,https://www.amazon.in/OPPO-Steller-Purple-Storage-Offer/dp/B07HF4DSL9/ref=sr_1_58?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-58,Oppo F9 ,7499,https://m.media-amazon.com/images/I/61jlyzbxctL._AC_UY218_.jpg
B07SBJXQC7,Oppo,https://www.amazon.in/Luminous-Storage-Additional-Exchange-Offers/dp/B07SBJXQC7/ref=sr_1_68?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-68,OPPO Reno2 ,8999,https://m.media-amazon.com/images/I/81kmbC6WfjL._AC_UY218_.jpg
B0843DKNWS,Oppo,https://www.amazon.in/Oppo-Lightening-Storage-Additional-Exchange/dp/B0843DKNWS/ref=sr_1_79?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-79,Oppo F15 ,10617,https://m.media-amazon.com/images/I/61t0j7kafWL._AC_UY218_.jpg
B089MS6RJ3,Oppo,https://www.amazon.in/Starry-Night-128GB-Storage-Without/dp/B089MS6RJ3/ref=sr_1_107?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-107,OPPO Reno 4 Pro ,10999,https://m.media-amazon.com/images/I/71IBB+UGuqL._AC_UY218_.jpg
B079VJ25DD,Oppo,https://www.amazon.in/Screen-Display-Mobile-Phone-Black/dp/B079VJ25DD/ref=sr_1_108?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-108,"OPPO F5 Full Screen Display, 6 GB RAM Mobile Phone",24999,https://m.media-amazon.com/images/I/716eY9k0p9L._AC_UY218_.jpg
B078CBN95Q,Oppo,https://www.amazon.in/Oppo-F5-64GB-Storage-Offers/dp/B078CBN95Q/ref=sr_1_109?dchild=1&keywords=oppo+smartphones&qid=1605587093&refinements=p_89%3AOppo&rnid=3837712031&s=electronics&sr=1-109,Oppo F5 ,7999,https://m.media-amazon.com/images/I/61T8B4U6Z8L._AC_UY218_.jpg
